iter	RMSE
0	13.67506032
1	13.2430506
2	12.82343703
3	12.43242336
4	12.07211779
5	11.72130105
6	11.3621992
7	11.02374224
8	10.68178628
9	10.3584765
10	10.05201853
11	9.784366724
12	9.490337506
13	9.226077033
14	8.948876282
15	8.678044454
16	8.430237514
17	8.198615239
18	7.987329702
19	7.752267259
20	7.547495623
21	7.324607397
22	7.122116866
23	6.9150175
24	6.713690234
25	6.537798521
26	6.370623879
27	6.197478048
28	6.034097489
29	5.88102786
30	5.725302548
31	5.579152719
32	5.432513895
33	5.286960946
34	5.160075776
35	5.031777725
36	4.923034267
37	4.80130709
38	4.685988842
39	4.574785818
40	4.462363086
41	4.360283096
42	4.264678884
43	4.176225226
44	4.080528439
45	3.993600952
46	3.913558215
47	3.833166292
48	3.756989171
49	3.682158674
50	3.608656671
51	3.534880424
52	3.4656436
53	3.397945278
54	3.339645506
55	3.279076073
56	3.224584076
57	3.168304996
58	3.118401196
59	3.070202907
60	3.02304893
61	2.969488918
62	2.927325485
63	2.883917866
64	2.840905084
65	2.796701002
66	2.761208954
67	2.723937383
68	2.683307796
69	2.644254904
70	2.606780353
71	2.577445368
72	2.543597732
73	2.511809619
74	2.48664997
75	2.459333855
76	2.434914233
77	2.413569127
78	2.390511168
79	2.364700243
80	2.346062218
81	2.326394106
82	2.306015931
83	2.287816629
84	2.267932305
85	2.249732013
86	2.230366742
87	2.213442059
88	2.197362604
89	2.180945073
90	2.165000565
91	2.149523417
92	2.137710545
93	2.125252764
94	2.113057066
95	2.101931037
96	2.089445208
97	2.078638711
98	2.068329048
99	2.059610583
100	2.047382722
101	2.038385246
102	2.030064136
103	2.020212369
104	2.012557689
105	2.003089146
106	1.994239367
107	1.986153757
108	1.978908539
109	1.972335064
110	1.964835161
111	1.957666662
112	1.951229125
113	1.944175434
114	1.940125555
115	1.934294149
116	1.927811692
117	1.92237476
118	1.916934553
119	1.912937874
120	1.909378124
121	1.903281508
122	1.897281463
123	1.89346736
124	1.88799033
125	1.883800983
126	1.87927108
127	1.875081676
128	1.869647363
129	1.867147827
130	1.863262461
131	1.859459125
132	1.855004563
133	1.850113676
134	1.847426103
135	1.843435722
136	1.840233547
137	1.836174895
138	1.832458949
139	1.829028168
140	1.825164278
141	1.822933266
142	1.820219234
143	1.815614177
144	1.812475727
145	1.81004436
146	1.806697216
147	1.803031337
148	1.800486162
149	1.796367392
150	1.793127568
151	1.790063937
152	1.787713654
153	1.784736129
154	1.782054632
155	1.780569367
156	1.777997289
157	1.7756969
158	1.773094333
159	1.769728457
160	1.767606052
161	1.765837589
162	1.763691187
163	1.761437833
164	1.758457259
165	1.75663966
166	1.753933766
167	1.751027817
168	1.749313342
169	1.747620072
170	1.745691525
171	1.744456894
172	1.741465275
173	1.739291884
174	1.737520156
175	1.736346735
176	1.733783849
177	1.730726301
178	1.728733206
179	1.72647826
180	1.72418043
181	1.722620403
182	1.719960067
183	1.718767307
184	1.716561252
185	1.714888763
186	1.713232752
187	1.712176362
188	1.710043106
189	1.708485798
190	1.705688277
191	1.704194415
192	1.701042637
193	1.698640977
194	1.697590958
195	1.696121695
196	1.693544552
197	1.690568889
198	1.690117045
199	1.688449088
200	1.68631148
201	1.684350809
202	1.681412267
203	1.680265301
204	1.678707326
205	1.676958489
206	1.674573465
207	1.673425532
208	1.672610537
209	1.671383961
210	1.669756812
211	1.667440524
212	1.66511772
213	1.664186497
214	1.66282942
215	1.661468343
216	1.660020276
217	1.657684808
218	1.655078735
219	1.654119492
220	1.652081616
221	1.651052938
222	1.65041867
223	1.64946228
224	1.647466439
225	1.646054285
226	1.645236546
227	1.643671563
228	1.642734929
229	1.639581236
230	1.638659608
231	1.636227372
232	1.635089596
233	1.633250308
234	1.631590226
235	1.630728385
236	1.627760028
237	1.625865214
238	1.624366541
239	1.622980899
240	1.620779079
241	1.61874198
242	1.615720182
243	1.612711604
244	1.611240225
245	1.610212087
