iter	RMSE
0	13.66984567
1	13.22793601
2	12.77228308
3	12.38537356
4	11.99669638
5	11.64587827
6	11.27519284
7	10.90575663
8	10.54139843
9	10.20502753
10	9.89711428
11	9.589488512
12	9.285416795
13	8.993204887
14	8.715249993
15	8.44670069
16	8.16782561
17	7.916605529
18	7.684372218
19	7.436971313
20	7.215633051
21	7.010825344
22	6.796766313
23	6.591305505
24	6.390321198
25	6.199718229
26	6.007482599
27	5.810507777
28	5.635451998
29	5.474177553
30	5.302529124
31	5.143706702
32	5.001115296
33	4.851790908
34	4.724148661
35	4.579576773
36	4.434734774
37	4.3082454
38	4.189857536
39	4.062236103
40	3.942389321
41	3.83592933
42	3.729323149
43	3.621119632
44	3.512934504
45	3.413437957
46	3.314561343
47	3.213578207
48	3.122877722
49	3.029018506
50	2.940012366
51	2.856322826
52	2.778172392
53	2.709639974
54	2.63521644
55	2.564372799
56	2.493730902
57	2.438187325
58	2.374202171
59	2.310437769
60	2.249031803
61	2.189815459
62	2.131046502
63	2.075983829
64	2.025970892
65	1.977999838
66	1.927900219
67	1.883954097
68	1.840139712
69	1.795051228
70	1.745917144
71	1.701672034
72	1.656978241
73	1.618550546
74	1.578774517
75	1.541272443
76	1.505706677
77	1.473005762
78	1.44000576
79	1.414251646
80	1.383673636
81	1.349407913
82	1.322728194
83	1.294325993
84	1.262208393
85	1.233347236
86	1.209851611
87	1.183155105
88	1.158264075
89	1.13779151
90	1.117930411
91	1.095610961
92	1.07232163
93	1.049998243
94	1.028186214
95	1.008762321
96	0.990200613
97	0.9728235447
98	0.9575601981
99	0.9414127975
100	0.923502939
101	0.910160741
102	0.8934586049
103	0.8783318343
104	0.8632638375
105	0.8485398383
106	0.8351383578
107	0.8213581996
108	0.8094291752
109	0.7960495664
110	0.7845917411
111	0.7734576022
112	0.7623553208
113	0.7517040484
114	0.7411516118
115	0.7303746389
116	0.7219809601
117	0.7131678268
118	0.7057333509
119	0.697700468
120	0.6890148296
121	0.6803715913
122	0.6715195845
123	0.6651271016
124	0.6573189228
125	0.6492770366
126	0.6418778279
127	0.6344198629
128	0.6312691631
129	0.6245117516
130	0.6186147076
131	0.6123738434
132	0.6069360392
133	0.6010100311
134	0.5967444005
135	0.5936358748
136	0.5885144941
137	0.5827808138
138	0.5808486362
139	0.5755339386
140	0.5700348073
141	0.5640740835
142	0.5626610889
143	0.5580156737
144	0.5544997462
145	0.5492615013
146	0.5449771481
147	0.5391877646
148	0.5377250487
149	0.5337206091
150	0.5298078721
151	0.5261362793
152	0.5223932211
153	0.5205470276
154	0.5192191119
155	0.5160354428
156	0.5123231186
157	0.5081616707
158	0.5047759613
159	0.5034933909
160	0.4999046624
161	0.4966296968
162	0.4955355707
163	0.4917746582
164	0.4898723406
165	0.4888186605
166	0.4854505192
167	0.4844175199
168	0.4825543598
169	0.480618683
170	0.4778197123
171	0.4769334871
172	0.4753746339
173	0.4745685417
174	0.4735079268
175	0.4714585508
176	0.4687127057
177	0.4680346643
178	0.4669343576
179	0.4638717869
180	0.4610634035
181	0.4597187627
182	0.4585310999
183	0.4575527521
184	0.4554497937
185	0.4545970587
186	0.4539612627
187	0.4529673092
188	0.4520992413
189	0.4502630064
190	0.4495338888
191	0.4488556553
192	0.448284213
193	0.4476335558
194	0.4470179148
195	0.4443290543
196	0.4435984628
197	0.4424146289
198	0.4400981261
199	0.4391836671
200	0.4385982573
201	0.4381155881
202	0.4376017518
203	0.4371014165
204	0.4352627391
205	0.433493884
206	0.4330215767
207	0.4320143678
208	0.4310746656
209	0.4306034614
210	0.4300617135
211	0.4291288309
212	0.4286682179
213	0.4259435185
214	0.4233801798
215	0.422955301
216	0.4225278848
217	0.4207642561
218	0.4204128404
219	0.4200191285
220	0.41960773
221	0.4173345802
222	0.4169052883
223	0.4148532005
224	0.4118024196
225	0.4113983746
226	0.411042177
227	0.410655387
228	0.4088138361
229	0.4068115886
230	0.4064409748
231	0.4056914157
232	0.4040104767
233	0.4036626265
234	0.402406793
235	0.4020731966
236	0.3999413616
237	0.3992855539
238	0.3989697608
239	0.3986893509
240	0.3983664767
241	0.3962443148
242	0.3946714469
243	0.3944113324
244	0.3930503362
245	0.3927763691
246	0.390711738
247	0.3904494834
248	0.3890701631
249	0.3888180298
250	0.388592821
251	0.3868473202
252	0.3866285331
253	0.3844826048
254	0.3824104937
255	0.3822029597
256	0.381999885
257	0.3799749381
258	0.3795125779
259	0.3777249942
260	0.3772880205
261	0.375400139
262	0.3752166437
263	0.3738644891
264	0.3720845427
265	0.3703811752
266	0.3692732551
267	0.3682679337
268	0.3678930088
269	0.3677287497
270	0.3673723581
271	0.3659154337
272	0.364850648
273	0.3646978892
274	0.3631194426
275	0.3612875667
276	0.3611407412
277	0.3609971106
278	0.3608566027
279	0.359532327
280	0.3593963489
281	0.3592633276
282	0.3577050215
283	0.3559892644
284	0.3546217111
285	0.3534100039
286	0.3523507437
287	0.3522279558
288	0.3521078611
289	0.3507479943
290	0.3495000544
291	0.3486153356
292	0.3479699638
293	0.3478599548
294	0.3465682284
295	0.3464613303
296	0.3463567801
297	0.3452140672
298	0.3443932334
299	0.3442930476
300	0.3428007722
301	0.3416616732
302	0.340314256
303	0.338960511
304	0.3379981464
305	0.3365103147
306	0.3358430807
307	0.3347609856
308	0.3336085378
309	0.3321675324
310	0.3312104458
311	0.3304995562
312	0.3292656571
313	0.3286878096
314	0.3274592255
315	0.3261364794
316	0.3248161318
317	0.3240276246
318	0.3230063394
319	0.3223280568
320	0.3210746186
321	0.3203318341
322	0.3193538939
323	0.3181980232
324	0.3169252478
325	0.3156698866
326	0.3147149833
327	0.3138312003
328	0.3131509515
329	0.311924276
330	0.3112981594
331	0.3107062383
332	0.31013859
333	0.3090383955
334	0.3084230858
335	0.3076461368
336	0.3061450171
337	0.3051615746
338	0.3043423197
339	0.3032343124
340	0.3022465777
341	0.3013796848
342	0.3005481419
343	0.2994555747
344	0.2985769969
345	0.29812205
346	0.2976191425
347	0.2971916051
348	0.2966291648
349	0.2958075018
350	0.2952485184
351	0.294614101
352	0.2938741849
353	0.2933600359
354	0.2927268917
355	0.2920799014
356	0.2914050374
357	0.2905046907
358	0.2896546438
359	0.2892432025
360	0.2888233576
361	0.2881376877
362	0.2868550171
363	0.2862407941
364	0.2857331692
365	0.28537625
366	0.2841639301
367	0.2835219346
368	0.28263668
369	0.2820609814
370	0.2814557753
371	0.2805699629
372	0.2798357864
373	0.2786551936
374	0.2782591398
375	0.2774410136
376	0.2766409001
377	0.2759886531
378	0.274879431
379	0.273994042
380	0.2731221645
381	0.2722322603
382	0.2711573976
383	0.2708147275
384	0.2700954624
385	0.2690983891
386	0.2686610992
387	0.2680110052
388	0.2672252688
389	0.2666667586
390	0.2659753272
391	0.2652941937
392	0.2645601653
393	0.2640596437
394	0.2633780928
395	0.2626946467
396	0.2621600239
397	0.2618909971
398	0.2609343872
399	0.260149222
400	0.259853515
401	0.2594443132
402	0.2587073528
403	0.2577974109
404	0.2575728682
405	0.2566792049
406	0.2558567824
407	0.2549239122
408	0.2542457342
409	0.2533692157
410	0.2530207802
411	0.252391176
412	0.251841651
413	0.2513845991
414	0.2507136457
415	0.2497846556
416	0.249149146
417	0.2484374988
418	0.2477458209
419	0.2470105538
420	0.246451432
421	0.245754397
422	0.2451746889
423	0.2448956608
424	0.2443940807
425	0.2436161193
426	0.2427928108
427	0.2419661717
428	0.2414959776
429	0.2409953
430	0.240354057
431	0.2399044782
432	0.2395602342
433	0.2388655414
434	0.2382381936
435	0.2379392239
436	0.2373268231
437	0.2368728
438	0.236221974
439	0.2356302069
440	0.2348573119
441	0.2341320154
442	0.2334440107
443	0.2327588051
